;================================================= ~~ LFFF/LFPG/Gates ~~ =================================================;
N049.00.49.270:E002.30.17.740:LFPG Gates:I04
N049.01.01.360:E002.32.58.870:LFPG Gates:R03
N049.01.01.020:E002.32.59.270:LFPG Gates:R39
N049.00.59.920:E002.32.59.210:LFPG Gates:R04
N049.00.58.340:E002.32.59.790:LFPG Gates:R05
N049.00.57.890:E002.32.59.370:LFPG Gates:R06
N049.00.56.320:E002.33.00.040:LFPG Gates:R07
N049.00.54.880:E002.33.00.170:LFPG Gates:R08
N049.00.54.430:E002.32.59.810:LFPG Gates:R09
N049.00.52.950:E002.33.00.290:LFPG Gates:R10
N049.00.51.320:E002.33.01.060:LFPG Gates:R11
N049.00.50.180:E002.33.00.810:LFPG Gates:R12
N049.00.49.470:E002.33.01.710:LFPG Gates:R13
N049.00.47.720:E002.33.02.210:LFPG Gates:R14
N049.00.41.140:E002.33.10.500:LFPG Gates:Q01
N049.00.41.990:E002.33.13.560:LFPG Gates:Q02
N049.00.41.430:E002.33.14.570:LFPG Gates:Q03
N049.00.42.180:E002.33.15.480:LFPG Gates:Q04
N049.00.42.350:E002.33.17.480:LFPG Gates:Q05
N049.00.41.610:E002.33.18.440:LFPG Gates:Q06
N049.00.42.400:E002.33.19.420:LFPG Gates:Q07
N049.00.42.500:E002.33.21.360:LFPG Gates:Q08
N049.00.41.870:E002.33.22.500:LFPG Gates:Q09
N049.00.42.600:E002.33.23.380:LFPG Gates:Q10
N049.00.42.000:E002.33.25.450:LFPG Gates:Q11
N049.00.48.500:E002.33.23.940:LFPG Gates:Q12
N049.00.49.330:E002.33.23.080:LFPG Gates:Q13
N049.00.48.120:E002.33.21.740:LFPG Gates:Q14
N049.00.49.260:E002.33.20.360:LFPG Gates:Q15
N049.00.47.990:E002.33.19.450:LFPG Gates:Q16
N049.00.48.110:E002.33.16.880:LFPG Gates:Q17
N049.00.48.900:E002.33.15.840:LFPG Gates:Q18
N049.00.47.790:E002.33.14.640:LFPG Gates:Q19
N049.00.48.840:E002.33.13.160:LFPG Gates:Q20
N049.00.47.620:E002.33.12.330:LFPG Gates:Q21
N049.00.58.720:E002.34.43.100:LFPG Gates:H01
N049.00.58.640:E002.34.39.500:LFPG Gates:H02
N049.00.58.370:E002.34.35.950:LFPG Gates:H03
N049.00.58.300:E002.34.32.390:LFPG Gates:H04
N049.00.48.140:E002.34.44.350:LFPG Gates:H05
N049.00.48.110:E002.34.40.770:LFPG Gates:H06
N049.00.47.790:E002.34.37.260:LFPG Gates:H07
N049.00.47.760:E002.34.33.670:LFPG Gates:H08
N049.00.56.690:E002.34.28.410:LFPG Gates:H09
N049.00.56.260:E002.34.24.790:LFPG Gates:H10
N049.00.48.660:E002.34.29.270:LFPG Gates:H11
N049.00.48.610:E002.34.25.720:LFPG Gates:H12
N049.00.58.010:E002.34.43.980:LFPG Gates:H20
N049.00.58.590:E002.34.41.280:LFPG Gates:H21
N049.00.57.790:E002.34.38.800:LFPG Gates:H22
N049.00.58.540:E002.34.42.600:LFPG Gates:H23
N049.00.57.660:E002.34.36.810:LFPG Gates:H30
N049.00.58.210:E002.34.34.180:LFPG Gates:H34
N049.00.57.390:E002.34.31.720:LFPG Gates:H40
N049.00.49.010:E002.34.44.980:LFPG Gates:H50
N049.00.48.380:E002.34.42.830:LFPG Gates:H55
N049.00.48.750:E002.34.39.980:LFPG Gates:H60
N049.00.48.860:E002.34.42.050:LFPG Gates:H65
N049.00.48.600:E002.34.37.920:LFPG Gates:H70
N049.00.48.370:E002.34.32.680:LFPG Gates:H80
N049.00.47.510:E002.34.35.510:LFPG Gates:H87
N049.00.01.830:E002.32.45.290:LFPG Gates:M06
N049.00.01.580:E002.32.41.720:LFPG Gates:M07
N049.00.01.300:E002.32.38.220:LFPG Gates:M08
N049.00.01.080:E002.32.34.620:LFPG Gates:M09
N049.00.00.970:E002.32.31.050:LFPG Gates:M10
N049.00.00.730:E002.32.27.450:LFPG Gates:M11
N049.00.00.510:E002.32.23.920:LFPG Gates:M12
N049.00.00.320:E002.32.20.630:LFPG Gates:M13
N049.00.00.080:E002.32.16.780:LFPG Gates:M14
N048.59.59.900:E002.32.13.340:LFPG Gates:M15
N048.59.59.590:E002.32.11.270:LFPG Gates:M16
N048.59.59.630:E002.32.04.740:LFPG Gates:M17
N049.00.00.140:E002.32.10.720:LFPG Gates:M21
N049.00.00.070:E002.32.08.930:LFPG Gates:M23
N048.59.48.100:E002.31.52.080:LFPG Gates:N01
N048.59.46.080:E002.31.52.340:LFPG Gates:N02
N048.59.44.050:E002.31.52.510:LFPG Gates:N03
N048.59.41.840:E002.31.53.900:LFPG Gates:N04
N048.59.39.460:E002.31.53.860:LFPG Gates:N05
N048.59.37.040:E002.31.54.100:LFPG Gates:N06
N048.59.31.960:E002.31.54.670:LFPG Gates:N08
N048.59.29.570:E002.31.55.070:LFPG Gates:N09
N048.59.26.990:E002.31.55.470:LFPG Gates:N10
N048.59.24.580:E002.31.55.650:LFPG Gates:N11
N048.59.44.640:E002.31.53.010:LFPG Gates:N31
N048.59.43.490:E002.31.53.090:LFPG Gates:N33
N048.59.42.290:E002.31.53.220:LFPG Gates:N41
N048.59.41.220:E002.31.54.370:LFPG Gates:N43
N048.59.39.900:E002.31.54.460:LFPG Gates:N51
N048.59.38.610:E002.31.54.620:LFPG Gates:N53
N048.59.28.720:E002.31.55.090:LFPG Gates:N63
N048.59.23.720:E002.31.55.690:LFPG Gates:N73
N048.59.33.990:E002.32.09.140:LFPG Gates:P70
N048.59.32.700:E002.32.09.890:LFPG Gates:P71
N048.59.31.500:E002.32.10.010:LFPG Gates:P72
N048.59.30.200:E002.32.10.110:LFPG Gates:P73
N048.59.28.040:E002.32.10.210:LFPG Gates:P74
N048.59.26.510:E002.32.10.550:LFPG Gates:P75
N048.59.33.470:E002.32.10.060:LFPG Gates:P80
N048.59.31.380:E002.32.12.850:LFPG Gates:P81
N048.59.31.560:E002.32.15.530:LFPG Gates:P82
N048.59.33.750:E002.32.17.110:LFPG Gates:P83
N048.59.35.410:E002.32.18.020:LFPG Gates:P84
N048.59.28.180:E002.32.12.580:LFPG Gates:P90
N048.59.28.440:E002.32.16.230:LFPG Gates:P91
N048.59.27.400:E002.32.12.210:LFPG Gates:P92
N048.59.27.660:E002.32.14.580:LFPG Gates:P93
N048.59.27.790:E002.32.17.240:LFPG Gates:P94
N049.00.25.610:E002.33.48.010:LFPG Gates:B01
N049.00.19.010:E002.33.49.740:LFPG Gates:B02
N049.00.25.540:E002.33.45.740:LFPG Gates:B03
N049.00.18.820:E002.33.48.030:LFPG Gates:B04
N049.00.25.390:E002.33.43.810:LFPG Gates:B05
N049.00.19.480:E002.33.48.180:LFPG Gates:B06
N049.00.25.280:E002.33.41.820:LFPG Gates:B07
N049.00.19.380:E002.33.46.250:LFPG Gates:B08
N049.00.25.170:E002.33.39.840:LFPG Gates:B09
N049.00.18.590:E002.33.44.690:LFPG Gates:B10
N049.00.24.840:E002.33.38.090:LFPG Gates:B11
N049.00.19.300:E002.33.44.530:LFPG Gates:B12
N049.00.24.840:E002.33.37.260:LFPG Gates:B13
N049.00.18.520:E002.33.42.050:LFPG Gates:B14
N049.00.24.980:E002.33.35.900:LFPG Gates:B15
N049.00.18.520:E002.33.39.670:LFPG Gates:B16
N049.00.17.840:E002.33.39.480:LFPG Gates:B18
N049.00.17.790:E002.33.37.730:LFPG Gates:B20
N049.00.17.350:E002.33.35.770:LFPG Gates:B22
N049.00.16.490:E002.33.34.640:LFPG Gates:B24
N049.00.17.080:E002.33.34.050:LFPG Gates:B26
N049.00.19.180:E002.34.09.400:LFPG Gates:D02
N049.00.26.500:E002.34.06.330:LFPG Gates:D03
N049.00.26.450:E002.34.04.340:LFPG Gates:D05
N049.00.19.400:E002.34.08.130:LFPG Gates:D06
N049.00.26.460:E002.34.02.540:LFPG Gates:D07
N049.00.20.080:E002.34.06.220:LFPG Gates:D08
N049.00.26.030:E002.34.01.970:LFPG Gates:D09
N049.00.19.620:E002.34.04.830:LFPG Gates:D10
N049.00.26.010:E002.34.00.560:LFPG Gates:D11
N049.00.20.230:E002.34.04.550:LFPG Gates:D12
N049.00.26.360:E002.33.59.810:LFPG Gates:D13
N049.00.19.620:E002.34.02.600:LFPG Gates:D14
N049.00.26.060:E002.33.58.200:LFPG Gates:D15
N049.00.19.560:E002.33.59.700:LFPG Gates:D16
N049.00.26.250:E002.33.57.120:LFPG Gates:D17
N049.00.19.650:E002.33.57.250:LFPG Gates:D18
N049.00.25.980:E002.33.56.220:LFPG Gates:D19
N049.00.19.590:E002.33.55.040:LFPG Gates:D20
N049.00.18.940:E002.33.54.480:LFPG Gates:D22
N049.00.18.780:E002.33.53.650:LFPG Gates:D24
N049.00.19.850:E002.34.25.350:LFPG Gates:F02
N049.00.21.010:E002.34.25.070:LFPG Gates:F04
N049.00.22.340:E002.34.24.570:LFPG Gates:F08
N049.00.23.400:E002.34.24.260:LFPG Gates:F10
N049.00.24.240:E002.34.24.050:LFPG Gates:F14
N049.00.24.900:E002.34.25.110:LFPG Gates:F16
N049.00.25.230:E002.34.26.340:LFPG Gates:F20
N049.00.25.560:E002.34.27.820:LFPG Gates:F22
N049.00.25.650:E002.34.30.380:LFPG Gates:F26
N049.00.25.260:E002.34.30.930:LFPG Gates:F28
N049.00.24.590:E002.34.31.760:LFPG Gates:F30
N049.00.23.620:E002.34.31.920:LFPG Gates:F32
N049.00.22.620:E002.34.32.780:LFPG Gates:F34
N049.00.22.740:E002.34.40.120:LFPG Gates:F66
N049.00.23.760:E002.34.40.170:LFPG Gates:F68
N049.00.25.200:E002.34.40.290:LFPG Gates:F70
N049.00.26.220:E002.34.39.340:LFPG Gates:F72
N049.00.25.000:E002.34.39.960:LFPG Gates:F74
N049.00.25.830:E002.34.40.770:LFPG Gates:F76
N049.00.26.150:E002.34.42.620:LFPG Gates:F80
N049.00.26.320:E002.34.44.850:LFPG Gates:F82
N049.00.26.280:E002.34.46.060:LFPG Gates:F84
N049.00.25.470:E002.34.47.390:LFPG Gates:F86
N049.00.24.620:E002.34.47.800:LFPG Gates:F90
N049.00.23.500:E002.34.47.550:LFPG Gates:F92
N049.00.22.290:E002.34.48.020:LFPG Gates:F94
N049.00.21.200:E002.34.47.830:LFPG Gates:F96
N049.00.26.870:E002.35.02.380:LFPG Gates:F03
N049.00.24.170:E002.35.02.870:LFPG Gates:F09
N049.00.21.350:E002.35.03.070:LFPG Gates:F15
N049.00.13.320:E002.35.03.170:LFPG Gates:E01
N049.00.11.920:E002.35.03.160:LFPG Gates:E05
N049.00.10.560:E002.35.03.410:LFPG Gates:E09
N049.00.09.180:E002.35.03.580:LFPG Gates:E15
N049.00.07.460:E002.35.03.850:LFPG Gates:E17
N049.00.06.180:E002.35.03.920:LFPG Gates:E21
N049.00.04.830:E002.35.03.830:LFPG Gates:E25
N049.00.04.280:E002.35.03.910:LFPG Gates:E27
N049.00.03.310:E002.35.04.350:LFPG Gates:E29
N049.00.04.590:E002.34.26.030:LFPG Gates:E08
N049.00.05.310:E002.34.27.980:LFPG Gates:E14
N049.00.04.540:E002.34.28.040:LFPG Gates:E16
N049.00.05.660:E002.34.30.970:LFPG Gates:E18
N049.00.05.790:E002.34.34.410:LFPG Gates:E20
N049.00.06.140:E002.34.37.900:LFPG Gates:E22
N049.00.06.380:E002.34.41.470:LFPG Gates:E24
N049.00.06.470:E002.34.45.020:LFPG Gates:E26
N049.00.06.460:E002.34.48.610:LFPG Gates:E30
N049.00.06.440:E002.34.52.040:LFPG Gates:E32
N049.00.06.370:E002.34.56.000:LFPG Gates:E34
N049.00.08.830:E002.34.52.700:LFPG Gates:E38
N049.00.09.240:E002.34.50.680:LFPG Gates:E40
N049.00.08.610:E002.34.49.000:LFPG Gates:E42
N049.00.09.260:E002.34.45.710:LFPG Gates:E44
N049.00.07.750:E002.33.56.520:LFPG Gates:C02
N049.00.07.540:E002.33.59.640:LFPG Gates:C04
N049.00.07.630:E002.34.02.540:LFPG Gates:C06
N049.00.08.190:E002.34.05.520:LFPG Gates:C08
N049.00.07.400:E002.34.07.750:LFPG Gates:C10
N049.00.08.480:E002.34.08.200:LFPG Gates:C12
N049.00.09.360:E002.34.10.670:LFPG Gates:C14
N049.00.07.620:E002.33.57.570:LFPG Gates:CFW
N049.00.07.040:E002.34.00.390:LFPG Gates:C04A
N049.00.08.630:E002.34.10.820:LFPG Gates:CFE
N049.00.00.950:E002.34.01.180:LFPG Gates:C03
N049.00.01.110:E002.34.03.720:LFPG Gates:C05
N049.00.00.790:E002.34.07.270:LFPG Gates:C07
N049.00.01.140:E002.34.05.720:LFPG Gates:CF9
N049.00.07.470:E002.33.38.250:LFPG Gates:A04
N049.00.06.980:E002.33.37.460:LFPG Gates:A06
N049.00.07.160:E002.33.40.900:LFPG Gates:A08
N049.00.07.110:E002.33.43.650:LFPG Gates:A10
N049.00.06.830:E002.33.46.650:LFPG Gates:A12
N049.00.07.450:E002.33.49.050:LFPG Gates:A14
N049.00.06.900:E002.33.48.630:LFPG Gates:A16
N049.00.08.160:E002.33.51.210:LFPG Gates:A18
N048.59.59.870:E002.33.38.750:LFPG Gates:A01
N048.59.59.110:E002.33.41.370:LFPG Gates:A03
N048.59.59.500:E002.33.44.870:LFPG Gates:A05
N048.59.59.720:E002.33.48.160:LFPG Gates:A07
N048.59.59.920:E002.33.51.480:LFPG Gates:A09
N049.00.08.290:E002.33.30.060:LFPG Gates:A30
N049.00.07.050:E002.33.29.750:LFPG Gates:A32
N049.00.06.940:E002.33.31.200:LFPG Gates:A34
N049.00.06.550:E002.33.32.890:LFPG Gates:A38
N048.59.58.740:E002.33.33.390:LFPG Gates:A39
N049.00.11.680:E002.33.22.690:LFPG Gates:G10
N049.00.11.760:E002.33.23.450:LFPG Gates:G11
N049.00.11.770:E002.33.24.000:LFPG Gates:G12
N049.00.11.940:E002.33.24.930:LFPG Gates:G13
N049.00.11.810:E002.33.25.380:LFPG Gates:G14
N049.00.17.980:E002.33.22.230:LFPG Gates:G31
N049.00.18.060:E002.33.25.770:LFPG Gates:G35
N049.00.14.890:E002.33.21.540:LFPG Gates:G20
N049.00.14.210:E002.33.21.560:LFPG Gates:G21
N049.00.14.600:E002.33.23.240:LFPG Gates:G22
N049.00.14.510:E002.33.25.130:LFPG Gates:G23
N049.00.14.450:E002.33.24.000:LFPG Gates:G24
N049.00.27.460:E002.35.06.760:LFPG Gates:K01
N049.00.26.850:E002.35.06.820:LFPG Gates:K05
N049.00.24.860:E002.35.07.000:LFPG Gates:K09
N049.00.22.920:E002.35.07.300:LFPG Gates:K13
N049.00.22.270:E002.35.07.320:LFPG Gates:K17
N049.00.20.150:E002.35.07.560:LFPG Gates:K21
N049.00.13.140:E002.35.08.410:LFPG Gates:K53
N049.00.10.250:E002.35.08.680:LFPG Gates:K59
N049.00.07.300:E002.35.09.090:LFPG Gates:K65
N049.00.05.100:E002.35.09.350:LFPG Gates:K71
N049.00.27.830:E002.35.23.590:LFPG Gates:K26
N049.00.25.490:E002.35.24.040:LFPG Gates:K32
N049.00.23.170:E002.35.24.100:LFPG Gates:K38
N049.00.20.790:E002.35.24.310:LFPG Gates:K44
N049.00.14.330:E002.35.25.190:LFPG Gates:K52
N049.00.11.970:E002.35.25.380:LFPG Gates:K58
N049.00.09.630:E002.35.25.700:LFPG Gates:K64
N049.00.07.280:E002.35.26.000:LFPG Gates:K70
N049.00.04.950:E002.35.26.440:LFPG Gates:K76
N049.00.27.950:E002.35.27.510:LFPG Gates:L27
N049.00.25.120:E002.35.27.940:LFPG Gates:L33
N049.00.22.290:E002.35.28.190:LFPG Gates:L39
N049.00.14.020:E002.35.29.510:LFPG Gates:L53
N049.00.11.200:E002.35.29.840:LFPG Gates:L59
N049.00.08.380:E002.35.30.180:LFPG Gates:L65
N049.00.05.540:E002.35.30.480:LFPG Gates:L71
N049.00.15.320:E002.35.52.330:LFPG Gates:J01
N049.00.14.170:E002.35.52.450:LFPG Gates:J02
N049.00.13.130:E002.35.52.720:LFPG Gates:J03
N049.00.13.090:E002.35.53.910:LFPG Gates:J04
N049.00.14.600:E002.35.53.700:LFPG Gates:J05
N049.00.15.660:E002.35.53.680:LFPG Gates:J06
N049.00.17.540:E002.36.00.550:LFPG Gates:J10
N049.00.16.190:E002.36.00.710:LFPG Gates:J11
N049.00.14.950:E002.36.00.880:LFPG Gates:J12
N049.00.14.130:E002.36.00.140:LFPG Gates:J13
N049.00.14.260:E002.36.01.550:LFPG Gates:J14
N049.00.14.440:E002.36.03.130:LFPG Gates:J16
N049.00.14.800:E002.36.03.450:LFPG Gates:J18
N049.00.15.930:E002.36.03.200:LFPG Gates:J20
N049.00.17.000:E002.36.03.150:LFPG Gates:J21
N049.00.17.440:E002.36.10.620:LFPG Gates:J30
N049.00.16.340:E002.36.10.580:LFPG Gates:J31
N049.00.15.230:E002.36.10.410:LFPG Gates:J33
N049.00.14.600:E002.36.10.670:LFPG Gates:J34
N049.00.14.940:E002.36.12.790:LFPG Gates:J37
N049.00.14.950:E002.36.13.940:LFPG Gates:J38
N049.00.15.580:E002.36.13.280:LFPG Gates:J39
N049.00.16.710:E002.36.13.150:LFPG Gates:J40
N049.00.18.080:E002.36.12.910:LFPG Gates:J41
N049.00.36.420:E002.35.53.630:LFPG Gates:J51
N049.00.34.090:E002.35.53.800:LFPG Gates:J53
N049.00.31.790:E002.35.54.110:LFPG Gates:J55
N049.00.29.470:E002.35.54.390:LFPG Gates:J57
N049.00.52.950:E002.32.41.900:LFPG Gates:U03
N049.00.51.590:E002.32.41.870:LFPG Gates:U04
N049.00.50.290:E002.32.41.660:LFPG Gates:U05
N049.00.47.000:E002.32.39.690:LFPG Gates:U06
N049.00.45.320:E002.32.40.570:LFPG Gates:U07
N049.00.45.770:E002.32.41.250:LFPG Gates:U08
N049.00.47.560:E002.32.43.830:LFPG Gates:U10
N049.00.49.120:E002.32.43.960:LFPG Gates:U11
N049.00.51.420:E002.32.44.290:LFPG Gates:U12
N049.00.53.780:E002.32.43.830:LFPG Gates:U13
N049.00.56.010:E002.32.42.840:LFPG Gates:U14
N049.00.57.680:E002.32.40.780:LFPG Gates:U15
N049.00.59.170:E002.32.38.220:LFPG Gates:U16
N049.00.58.940:E002.32.34.270:LFPG Gates:U17
N049.01.01.500:E002.32.30.330:LFPG Gates:W04
N049.01.01.250:E002.32.27.500:LFPG Gates:W05
N049.01.00.040:E002.32.26.440:LFPG Gates:W06
N049.00.57.950:E002.32.27.950:LFPG Gates:W07
N049.00.59.260:E002.32.26.300:LFPG Gates:W08
N049.00.58.080:E002.32.24.620:LFPG Gates:X01
N049.01.00.040:E002.32.23.440:LFPG Gates:X02
N049.00.58.900:E002.32.24.890:LFPG Gates:X03
N049.00.58.760:E002.32.20.370:LFPG Gates:X04
N049.00.57.450:E002.32.18.980:LFPG Gates:X05
N049.00.56.300:E002.32.19.310:LFPG Gates:X06
N049.00.55.210:E002.32.22.930:LFPG Gates:X07
N049.00.55.620:E002.32.19.910:LFPG Gates:X08
